Title,Issue Number,Issue Name,Publisher,Cover Date Month,Cover Date Year,Writer(s),Penciller(s),Inker(s)
"A-Force (2015)","#1","","Marvel"," July","2015","G. Willow Wilson, Marguerite Bennett","Jorge Molina","Craig S. Yeung, Jorge Molina"
"A-Force (2016)","#1","","Marvel"," March","2016","G. Willow Wilson","Jorge Molina","Jorge Molina"
"A.D.: After Death (2016)","OGN SC vol. 01","Part One: The Land of Milk and Honey","Image Comics"," November","2016","Scott Snyder","Jeff Lemire","Jeff Lemire"
"A.D.: After Death (2016)","OGN SC vol. 02","Part Two: The Goodbye Suit","Image Comics"," December","2016","Scott Snyder","Jeff Lemire","Jeff Lemire"
"Age of Ultron (2013)","#1","Age of Ultron: Book One","Marvel"," May","2013","Brian Michael Bendis","Bryan Hitch","Paul Neary"
"Age of Ultron (2013)","#2","Age of Ultron: Book Two","Marvel"," May","2013","Brian Michael Bendis","Bryan Hitch","Paul Neary"
"Age of Ultron (2013)","#3","Age of Ultron: Book Three","Marvel"," May","2013","Brian Michael Bendis","Bryan Hitch","Paul Neary"
"Age of Ultron (2013)","#4","Age of Ultron: Book Four","Marvel"," June","2013","Brian Michael Bendis","Bryan Hitch","Paul Neary"
"Age of Ultron (2013)","#5","Age of Ultron: Book Five","Marvel"," June","2013","Brian Michael Bendis","Bryan Hitch","Paul Neary"
"Age of Ultron (2013)","#6","Age of Ultron: Book Six","Marvel"," June","2013","Brian Michael Bendis","Brandon Peterson - 'Brando', Carlos Pacheco","Roger Martinez, Brandon Peterson - 'Brando'"
"Age of Ultron (2013)","#7","Age of Ultron: Book Seven","Marvel"," July","2013","Brian Michael Bendis","Brandon Peterson - 'Brando', Carlos Pacheco","Brandon Peterson - 'Brando', Roger Martinez"
"Age of Ultron (2013)","#8","Age of Ultron: Book Eight","Marvel"," July","2013","Brian Michael Bendis","Brandon Peterson - 'Brando'","Brandon Peterson - 'Brando'"
"Age of Ultron (2013)","#9","Age of Ultron: Book Nine","Marvel"," August","2013","Brian Michael Bendis","Brandon Peterson - 'Brando', Carlos Pacheco","Brandon Peterson - 'Brando', Roger Bonet Martinez - 'Roger Bonet'"
"Age of Ultron (2013)","#10","Age of Ultron: Book Ten","Marvel"," August","2013","Brian Michael Bendis","Joe Quesada, Brandon Peterson - 'Brando', Carlos Pacheco, David Marquez, Alex Maleev, Bryan Hitch, Jackson 'Butch' Guice","Joe Quesada, David Marquez, Roger Bonet Martinez - 'Roger Bonet', Brandon Peterson - 'Brando', Jackson 'Butch' Guice, Alex Maleev, Tom Palmer Jr., Paul Neary"
"Age of Ultron (2013)","#10 AI","","Marvel"," August","2013","Mark Waid","André Lima Araújo","André Lima Araújo"
"Age of Ultron vs. Marvel Zombies (2015)","#1","A Stranger Came To Town","Marvel"," August","2015","James Dale Robinson","Steve Pugh, Ron Garney","Steve Pugh"
"Airboy (2015)","#1","","Image Comics"," June","2015","James Dale Robinson","Greg Hinkle","Greg Hinkle"
"Airboy (2015)","#2","","Image Comics"," July","2015","James Dale Robinson","Greg Hinkle","Greg Hinkle"
"Airboy (2015)","#3","","Image Comics"," August","2015","James Dale Robinson","Greg Hinkle","Greg Hinkle"
"Airboy (2015)","#4","","Image Comics"," November","2015","James Dale Robinson","Greg Hinkle","Greg Hinkle"
"Aliens: Defiance (2016)","#1","Derelict","Dark Horse Comics"," April","2016","Brian Wood","Tristan Huw Jones - 'T-Rex Jones'","Tristan Huw Jones - 'T-Rex Jones'"
"All Star Superman (2006)","#1","Episode One; Faster...","DC Comics"," June","2013","Grant Morrison","Frank Quitely - 'Vincent Deighan'","Jamie Grant"
"All-New Hawkeye (2015)","#1","Wunderkammer Part One of Five","Marvel"," May","2015","Jeff Lemire","Ramón K. Pérez","Ramón K. Pérez"
"All-New Hawkeye (2015)","#2","Wunderkammer Part Two of Five","Marvel"," June","2015","Jeff Lemire","Ramón K. Pérez","Ramón K. Pérez"
"All-New X-Men (2013)","#1","","Marvel"," January","2013","Brian Michael Bendis","Stuart Immonen","Wade Von Grawbadger"
"All-New X-Men (2013)","#2","","Marvel"," January","2013","Brian Michael Bendis","Stuart Immonen","Wade Von Grawbadger"
"All-New X-Men (2013)","#3","","Marvel"," February","2013","Brian Michael Bendis","Stuart Immonen","Wade Von Grawbadger"
"All-New X-Men (2013)","#4","","Marvel"," February","2013","Brian Michael Bendis","Stuart Immonen","Wade Von Grawbadger"
"All-New X-Men (2013)","#5","","Marvel"," March","2013","Brian Michael Bendis","Stuart Immonen","Craig S. Yeung, Wade Von Grawbadger"
"All-New X-Men (2013)","#6","","Marvel"," March","2013","Brian Michael Bendis","David Marquez","David Marquez"
"All-New X-Men (2013)","#7","","Marvel"," April","2013","Brian Michael Bendis","David Marquez","David Marquez"
"All-New X-Men (2013)","#8","","Marvel"," May","2013","Brian Michael Bendis","David Marquez","David Marquez"
"All-New X-Men (2013)","#9","","Marvel"," May","2013","Brian Michael Bendis","Stuart Immonen","Wade Von Grawbadger"
"All-New X-Men (2013)","#10","","Marvel"," June","2013","Brian Michael Bendis","Stuart Immonen","Wade Von Grawbadger"
"All-New X-Men (2013)","#11","","Marvel"," July","2013","Brian Michael Bendis","Stuart Immonen","Wade Von Grawbadger"
"All-New X-Men (2013)","#12","All-New X-Men Vs Uncanny Avengers","Marvel"," August","2013","Brian Michael Bendis","Stuart Immonen","Wade Von Grawbadger"
"All-New X-Men (2013)","#13","","Marvel"," August","2013","Brian Michael Bendis","Stuart Immonen","Wade Von Grawbadger"
"All-Star Batman (2016)","#1","","DC Comics"," October","2016","Scott Snyder","Declan Shalvey, John Romita Jr.","Declan Shalvey, Danny K. Miki"
"All-Star Batman (2016)","#7","Ends of the Earth, Part 2","DC Comics"," April","2017","Scott Snyder","Tula Lotay","Tula Lotay"
"Amazing Spider-Man: Renew Your Vows (2015)","#1","Part 1: Why We Can't Have Nice Things","Marvel"," August","2015","Dan Slott","Adam Kubert","John Dell III"
"Amazing Spider-Man: Renew Your Vows (2015)","#2","Part 2: Because We Said So, That's Why.","Marvel"," September","2015","Dan Slott","Adam Kubert","John Dell III"
"Amazing Spider-Man: Renew Your Vows (2015)","#3","Calling a Family Meeting","Marvel"," October","2015","Dan Slott","Adam Kubert","John Dell III, Andrew 'Drew' Hennessy, Mark Morales"
"Amazing Spider-Man: Renew Your Vows (2015)","#4","Daddy Has to Go Away for a While.","Marvel"," October","2015","Dan Slott","Adam Kubert, Scott Hanna","Scott Hanna, Adam Kubert"
"Amazing Spider-Man: Renew Your Vows (2015)","#5","I'll Always Be There For You.","Marvel"," November","2015","Dan Slott","Scott Hanna, Adam Kubert","Scott Hanna"
"Animal Man (2011)","Annual 01","Endless Rot","DC Comics"," July","2012","Jeff Lemire","Timothy Green Jr. - 'Timothy Green II'","Joseph Silver"
"Animal Man (2011)","Annual 02","One Last Flight","DC Comics"," September","2013","Jeff Lemire","Travel Foreman","Travel Foreman"
"Animal Man (2011)","#0","Red Birth","DC Comics"," November","2012","Jeff Lemire","Steve Pugh","Steve Pugh"
