state,visited
Alabama,56
Alaska,12
Arkansas,27
Arizona,41
California,99
Colorado,61
Connecticut,27
Delaware,6
Florida,390
Georgia,49
Hawaii,4
Iowa,20
Idaho,13
Illinois,57
Indiana,45
Kansas,14
Kentucky,36
Louisiana,15
Maine,14
Maryland,41
Massachusetts,20
Michigan,47
Minnesota,32
Missouri,71
Mississippi,23
Montana,9
North Carolina,93
North Dakota,2
Nebraska,12
New Hampshire,9
New Jersey,36
New Mexico,11
Nevada,23
New York,83
Ohio,76
Oklahoma,13
Oregon,47
Pennsylvania,73
Rhode Island,6
South Carolina,22
South Dakota,5
Tennessee,79
Texas,70
Utah,19
Virginia,89
Vermont,9
Washington,88
Wisconsin,29
West Virginia,20
Wyoming,5
